State,Winner,Year
Kansas,Republican,1976
Kentucky,Democrat,1976
Louisiana,Democrat,1976
Maine,Republican,1976
Maryland,Democrat,1976
Massachusetts,Democrat,1976
Michigan,Republican,1976
Minnesota,Democrat,1976
Mississippi,Democrat,1976
Missouri,Democrat,1976
Montana,Republican,1976
Nebraska,Republican,1976
Nevada,Republican,1976
New Hampshire,Republican,1976
New Jersey,Republican,1976
New Mexico,Republican,1976
New York,Democrat,1976
North Carolina,Democrat,1976
North Dakota,Republican,1976
Ohio,Democrat,1976
Oklahoma,Republican,1976
Oregon,Republican,1976
Pennsylvania,Democrat,1976
Rhode Island,Democrat,1976
South Carolina,Democrat,1976
South Dakota,Republican,1976
Tennessee,Democrat,1976
Texas,Democrat,1976
Utah,Republican,1976
Vermont,Republican,1976
Virginia,Republican,1976
Washington,Republican,1976
West Virginia,Democrat,1976
Wisconsin,Democrat,1976
Wyoming,Republican,1976
Washington DC,Democrat,1976
Alabama,Republican,1980
Alaska,Republican,1980
Arizona,Republican,1980
Arkansas,Republican,1980
California,Republican,1980
Colorado,Republican,1980
Connecticut,Republican,1980
Delaware,Republican,1980
Florida,Republican,1980
Georgia,Democrat,1980
Hawaii,Democrat,1980
Idaho,Republican,1980
Illinois,Republican,1980
Indiana,Republican,1980
Iowa,Republican,1980
Kansas,Republican,1980
Kentucky,Republican,1980
Louisiana,Republican,1980
Maine,Republican,1980
Maryland,Democrat,1980
Massachusetts,Republican,1980
Michigan,Republican,1980
Minnesota,Democrat,1980
Mississippi,Republican,1980
Missouri,Republican,1980
Montana,Republican,1980
Nebraska,Republican,1980
Nevada,Republican,1980
New Hampshire,Republican,1980
New Jersey,Republican,1980
New Mexico,Republican,1980
New York,Republican,1980
North Carolina,Republican,1980
North Dakota,Republican,1980
Ohio,Republican,1980
Oklahoma,Republican,1980
Oregon,Republican,1980
Pennsylvania,Republican,1980
Rhode Island,Democrat,1980
South Carolina,Republican,1980
South Dakota,Republican,1980
Tennessee,Republican,1980
Texas,Republican,1980
Utah,Republican,1980
Vermont,Republican,1980
Virginia,Republican,1980
Washington,Republican,1980
West Virginia,Democrat,1980
Wisconsin,Republican,1980
Wyoming,Republican,1980
Washington DC,Democrat,1980
